first_name,last_name,email,country,phone_number
Sahana,David,sahana.david@globalmedia.ae,Saudi Arabia,+966501234567
Ramees,Backer,ramees.backer@globalmedia.ae,Saudi Arabia,+966502345678
Vivian,Augustine,vivien.augustine@globalmedia.ae,Saudi Arabia,+966503456789
Consumer,one,consum1.win@yopmail.com,Saudi Arabia,+966504567890
Consumer,five,consum5.win@yopmail.com,Saudi Arabia,+966505678901
Consumer,three,consum3.win@yopmail.com,Saudi Arabia,+966506789012
Charlie,Guintu,charlie.guintu@globalmedia.ae,UAE,+971501234567
Simon,George,simon.george@globalmedia.ae,UAE,+971502345678
Shiju,Shiju,shiju.sahadevan@globalmedia.ae,UAE,+971503456789
Consumer,two,consum2.win@yopmail.com,UAE,+971504567890
Consumer,Four,consum4.win@yopmail.com,UAE,+971505678901
Consumer,eight,consum8.win@yopmail.com,UAE,+971506789012
Charlie,Guintu,charlie.guintu@globalmedia.ae,Saudi Arabia,+966507890123
Simon,George,simon.george@globalmedia.ae,Saudi Arabia,+966508901234
Shiju,Shiju,shiju.sahadevan@globalmedia.ae,Saudi Arabia,+966509012345
Consumer,two,consum2.win@yopmail.com,Saudi Arabia,+966510123456
Consumer,Four,consum4.win@yopmail.com,Saudi Arabia,+966511234567
Consumer,eight,consum8.win@yopmail.com,Saudi Arabia,+966512345678
